Year;Canton;"Total - Durchschnittl.
Mietpreis 
pro m2";"Total - Vertrauens-intervall: 
± (in CHF)";"F1 - Durchschnittl.
Mietpreis 
pro m2";"F1 - Vertrauens-intervall: 
± (in CHF)";"F2 - Durchschnittl.
Mietpreis 
pro m2";"F2 - Vertrauens-intervall: 
± (in CHF)";"F3 - Durchschnittl.
Mietpreis 
pro m2";"F3 - Vertrauens-intervall: 
± (in CHF)";"F4 - Durchschnittl.
Mietpreis 
pro m2";"F4 - Vertrauens-intervall: 
± (in CHF)";"F5 - Durchschnittl.
Mietpreis 
pro m2";"F5 - Vertrauens-intervall: 
± (in CHF)";"F6+ - Durchschnittl.
Mietpreis 
pro m2";"F6+ - Vertrauens-intervall: 
± (in CHF)"
2018;Appenzell I.Rh.;13,7 ;0,9 ;(14,8) ;(3,2) ;(14,3) ;(2,2) ;(14,4) ;(1,9) ;(13,3) ;(1,4) ;(12,6) ;(2,4) ;X   ;*   
2018;St.Gallen;14,1 ;0,2 ;17,2 ;1,9 ;15,1 ;0,5 ;14,5 ;0,3 ;13,6 ;0,2 ;13,3 ;0,4 ;12,0 ;0,9 
2018;Graubünden;15,0 ;0,3 ;17,0 ;2,2 ;16,5 ;1,0 ;15,6 ;0,5 ;14,5 ;0,4 ;13,3 ;0,8 ;(12,2) ;(1,6) 
2018;Aargau;15,1 ;0,1 ;17,8 ;1,6 ;16,5 ;0,4 ;15,6 ;0,2 ;14,5 ;0,2 ;13,7 ;0,4 ;13,9 ;1,0 
2018;Thurgau;13,3 ;0,2 ;15,0 ;2,3 ;15,1 ;0,7 ;13,7 ;0,3 ;12,8 ;0,3 ;12,2 ;0,5 ;12,2 ;1,0 
2018;Tessin;13,7 ;0,1 ;12,6 ;0,8 ;13,6 ;0,4 ;13,7 ;0,2 ;13,9 ;0,2 ;14,0 ;0,7 ;15,8 ;1,9 
2018;Waadt;17,5 ;0,1 ;23,3 ;0,7 ;19,1 ;0,2 ;17,1 ;0,2 ;16,6 ;0,2 ;16,2 ;0,3 ;17,6 ;0,9 
2018;Wallis;13,8 ;0,2 ;16,4 ;1,7 ;15,0 ;0,7 ;14,0 ;0,3 ;13,0 ;0,3 ;12,3 ;0,7 ;(12,4) ;(2,1) 
2018;Neuenburg;12,5 ;0,2 ;14,3 ;1,4 ;12,6 ;0,5 ;12,2 ;0,2 ;12,6 ;0,2 ;12,4 ;0,5 ;12,8 ;1,2 
2018;Genf;19,1 ;0,2 ;20,8 ;1,0 ;19,7 ;0,5 ;18,9 ;0,3 ;18,4 ;0,3 ;18,2 ;0,7 ;22,2 ;1,1 
2018;Jura;10,9 ;0,4 ;(8,9) ;(2,5) ;11,9 ;1,2 ;10,9 ;0,6 ;11,0 ;0,6 ;10,1 ;1,1 ;(10,2) ;(1,2) 
2017;Schweiz;  15,9 ;0,0 ;  18,2 ;  0,3 ;  17,2 ;  0,1 ;  16,0 ;  0,1 ;  15,2 ;  0,1 ;  15,3 ;  0,1 ;  16,0 ;  0,3 
2017;Zürich;  18,6 ;  0,1 ;  21,8 ;  0,9 ;  20,7 ;  0,3 ;  18,7 ;  0,2 ;  17,5 ;  0,2 ;  17,6 ;  0,4 ;  18,1 ;  0,9 
2017;Bern;  14,4 ;  0,1 ;  16,0 ;  0,9 ;  15,2 ;  0,3 ;  14,5 ;  0,2 ;  14,1 ;  0,2 ;  13,6 ;  0,3 ;  13,5 ;  0,9 
2017;Luzern;  15,0 ;  0,1 ;  18,8 ;  1,4 ;  16,8 ;  0,5 ;  15,4 ;  0,2 ;  14,2 ;  0,2 ;  14,1 ;  0,4 ;  14,2 ;  0,9 
2017;Uri;  12,9 ;  0,5 ;  (13,4) ;  (6,1) ;  (13,4) ;  (2,0) ;  13,1 ;  0,8 ;  12,6 ;  0,6 ;  12,8 ;  1,3 ;  (12,8) ;  (2,1) 
2017;Schwyz;  16,3 ;  0,3 ;  17,9 ;  2,9 ;  17,8 ;  1,2 ;  16,3 ;  0,6 ;  16,0 ;  0,5 ;  15,3 ;  0,8 ;  17,2 ;  2,1 
2017;Obwalden;  13,8 ;  0,6 ;  (15,9) ;  (4,1) ;  (14,6) ;  (2,4) ;  14,0 ;  1,1 ;  13,6 ;  0,8 ;  12,8 ;  1,4 ;  (12,3) ;  (3,2) 
2017;Nidwalden;  15,7 ;  0,6 ;  (14,6) ;  (3,6) ;  16,6 ;  2,8 ;  16,7 ;  1,2 ;  15,1 ;  0,7 ;  14,9 ;  1,2 ;  (14,5) ;  (4,0) 
2017;Glarus;  12,6 ;  0,5 ;  (12,7) ;  (3,8) ;  (15,2) ;  (1,3) ;  12,7 ;  0,8 ;  12,7 ;  0,8 ;  11,5 ;  1,4 ;  (10,3) ;  (1,6) 
2017;Zug;  19,5 ;  0,2 ;  22,1 ;  2,7 ;  21,7 ;  0,9 ;  19,5 ;  0,5 ;  18,8 ;  0,3 ;  18,7 ;  0,6 ;  22,5 ;  1,8 
2017;Freiburg;  14,4 ;  0,2 ;  18,2 ;  1,8 ;  15,7 ;  0,7 ;  14,8 ;  0,3 ;  13,5 ;  0,3 ;  13,5 ;  0,6 ;  13,7 ;  1,4 
2017;Solothurn;  13,3 ;  0,2 ;  12,9 ;  2,0 ;  13,9 ;  0,7 ;  13,6 ;  0,3 ;  12,9 ;  0,3 ;  12,9 ;  0,6 ;  (13,2) ;  (1,5) 
2017;Basel-Stadt;  17,2 ;  0,2 ;  17,5 ;  1,4 ;  18,2 ;  0,5 ;  16,8 ;  0,3 ;  16,7 ;  0,4 ;  17,3 ;  1,0 ;  19,1 ;  2,0 
2017;Basel-Landschaft;  16,6 ;  0,2 ;  17,0 ;  2,5 ;  17,1 ;  0,6 ;  16,7 ;  0,3 ;  16,2 ;  0,3 ;  16,8 ;  0,9 ;  18,4 ;  2,2 
2017;Schaffhausen;  13,3 ;  0,3 ;  (11,7) ;  (1,8) ;  15,2 ;  1,2 ;  13,5 ;  0,5 ;  12,8 ;  0,5 ;  13,3 ;  1,0 ;  (13,5) ;  (1,7) 
2017;Appenzell A.Rh.;  12,7 ;  0,5 ;  (16,5) ;  (3,1) ;  15,0 ;  1,4 ;  12,8 ;  1,0 ;  12,7 ;  0,8 ;  11,8 ;  1,1 ;  (10,8) ;  (1,7) 
2017;Appenzell I.Rh.;  13,3 ;  0,9 ;  (15,6) ;  (7,6) ;  (11,2) ;  (2,3) ;  (15,0) ;  (1,4) ;  (13,0) ;  (1,7) ;  (12,6) ;  (1,8) ;  (15,1) ;  (3,5) 
2017;St.Gallen;  13,8 ;  0,1 ;  15,9 ;  1,5 ;  15,4 ;  0,5 ;  14,4 ;  0,2 ;  13,3 ;  0,2 ;  12,8 ;  0,4 ;  12,3 ;  0,9 
2017;Graubünden;  14,9 ;  0,3 ;  18,7 ;  2,7 ;  16,4 ;  1,2 ;  15,3 ;  0,5 ;  14,8 ;  0,4 ;  12,2 ;  0,9 ;  11,9 ;  1,4 
2017;Aargau;  14,8 ;  0,1 ;  16,3 ;  1,6 ;  16,0 ;  0,5 ;  15,1 ;  0,2 ;  14,3 ;  0,2 ;  14,2 ;  0,4 ;  14,1 ;  0,9 
2017;Thurgau;  13,2 ;  0,1 ;  13,8 ;  1,7 ;  14,4 ;  0,5 ;  13,9 ;  0,2 ;  12,8 ;  0,2 ;  11,9 ;  0,4 ;  11,8 ;  0,6 
2017;Tessin;  13,4 ;  0,1 ;  11,7 ;  0,9 ;  13,2 ;  0,4 ;  13,5 ;  0,2 ;  13,5 ;  0,2 ;  14,2 ;  0,6 ;  16,0 ;  1,6 
2017;Waadt;  17,1 ;  0,1 ;  21,3 ;  0,8 ;  18,3 ;  0,3 ;  17,1 ;  0,2 ;  15,9 ;  0,2 ;  16,7 ;  0,4 ;  17,3 ;  0,8 
2017;Wallis;  13,7 ;  0,2 ;  17,4 ;  1,6 ;  14,9 ;  0,7 ;  13,9 ;  0,4 ;  12,6 ;  0,3 ;  12,8 ;  0,7 ;  (14,0) ;  (1,8) 
2017;Neuenburg;  12,1 ;  0,2 ;  11,9 ;  1,2 ;  12,6 ;  0,4 ;  11,7 ;  0,2 ;  12,2 ;  0,2 ;  12,7 ;  0,6 ;  13,4 ;  2,0 
2017;Genf;  18,7 ;  0,2 ;  19,7 ;  1,0 ;  18,8 ;  0,5 ;  18,5 ;  0,3 ;  18,1 ;  0,3 ;  18,5 ;  0,4 ;  22,6 ;  1,1 
2017;Jura;  11,0 ;  0,4 ;  (11,8) ;  (4,0) ;  11,0 ;  1,6 ;  11,3 ;  0,5 ;  11,3 ;  0,7 ;  9,3 ;  1,2 ;  (9,9) ;  (2,1) 
2016;Schweiz;  15,8 ;0,0 ;  18,1 ;  0,3 ;  17,2 ;  0,1 ;  15,9 ;  0,1 ;  15,1 ;  0,1 ;  15,1 ;  0,1 ;  16,1 ;  0,4 
2016;Zürich;  18,6 ;  0,1 ;  22,6 ;  0,8 ;  20,6 ;  0,3 ;  18,6 ;  0,1 ;  17,6 ;  0,1 ;  17,5 ;  0,3 ;  19,0 ;  0,8 
2016;Bern;  14,3 ;  0,1 ;  16,2 ;  0,9 ;  15,5 ;  0,3 ;  14,5 ;  0,2 ;  13,9 ;  0,2 ;  13,4 ;  0,4 ;  13,3 ;  0,8 
2016;Luzern;  15,0 ;  0,1 ;  18,1 ;  1,4 ;  16,9 ;  0,5 ;  15,4 ;  0,2 ;  14,2 ;  0,2 ;  14,3 ;  0,4 ;  14,2 ;  0,9 
2016;Uri;  13,0 ;  0,6 ;  (12,4) ;  (4,2) ;  (15,0) ;  (2,4) ;  13,5 ;  1,2 ;  13,0 ;  0,7 ;  (12,0) ;  (1,6) ;  (8,9) ;  (3,1) 
2016;Schwyz;  16,5 ;  0,3 ;  (18,2) ;  (2,9) ;  16,8 ;  1,1 ;  16,7 ;  0,7 ;  16,1 ;  0,5 ;  16,5 ;  0,9 ;  (19,1) ;  (3,1) 
2016;Obwalden;  13,8 ;  0,6 ;  (13,8) ;  (4,9) ;  (14,3) ;  (2,0) ;  13,2 ;  1,1 ;  14,3 ;  0,7 ;  (12,9) ;  (1,7) ;  (16,2) ;  (2,7) 
2016;Nidwalden;  15,0 ;  0,4 ;  (13,7) ;  (3,7) ;  15,6 ;  1,3 ;  15,3 ;  0,9 ;  14,7 ;  0,6 ;  14,4 ;  1,0 ;  (16,3) ;  (3,3) 
2016;Glarus;  12,3 ;  0,5 ;  (11,8) ;  (5,9) ;  (12,3) ;  (1,8) ;  13,6 ;  0,8 ;  11,9 ;  0,7 ;  (10,1) ;  (1,5) ;  (11,7) ;  (3,4) 
2016;Zug;  19,5 ;  0,3 ;  21,4 ;  2,4 ;  21,5 ;  0,9 ;  20,2 ;  0,5 ;  18,9 ;  0,3 ;  18,3 ;  0,7 ;  19,8 ;  1,7 
2016;Freiburg;  14,1 ;  0,2 ;  17,3 ;  1,6 ;  15,4 ;  0,6 ;  14,5 ;  0,4 ;  13,3 ;  0,2 ;  13,5 ;  0,6 ;  12,0 ;  1,5 
2016;Solothurn;  13,5 ;  0,2 ;  14,2 ;  2,0 ;  15,1 ;  0,6 ;  13,3 ;  0,3 ;  13,3 ;  0,3 ;  12,2 ;  0,5 ;  14,0 ;  1,4 
2016;Basel-Stadt;  17,2 ;  0,2 ;  19,5 ;  1,2 ;  17,7 ;  0,4 ;  16,9 ;  0,3 ;  16,8 ;  0,4 ;  16,6 ;  0,9 ;  (17,2) ;  (1,4) 
2016;Basel-Landschaft;  16,1 ;  0,2 ;  13,6 ;  2,3 ;  16,7 ;  0,7 ;  16,3 ;  0,3 ;  16,0 ;  0,3 ;  16,4 ;  1,0 ;  14,4 ;  1,3 
